CustomerID;Age;MonthlyIncome;TotalDebt;CreditLimit;PaymentHistory;NumberOfCreditCards;YearsWithCompany;AverageMonthlyBalance;CreditStatus
1170;57;6530;9220;27596;Late;4;11;4562;Bad
1171;31;4455;2262;12126;On Time;2;3;1067;Good
1172;49;6281;7597;10827;On Time;3;4;3491;Good
1173;68;5511;11895;22346;On Time;5;11;3905;Good
1174;55;7250;7336;15614;On Time;2;7;2755;Good
1175;50;5111;10100;8120;On Time;2;9;3830;Good
1176;40;6538;13700;13419;On Time;3;5;5579;Good
1177;32;8963;8989;16278;On Time;2;2;3150;Good
1178;50;5897;5314;11768;On Time;3;12;2607;Good
1179;42;5073;8505;9926;On Time;4;4;4135;Good
1180;34;6083;17074;13961;On Time;5;13;4108;Bad
1181;50;4452;18425;9677;On Time;5;2;2730;Bad
1182;64;8581;0;18175;On Time;5;15;2447;Good
1183;19;5270;15455;5280;On Time;3;1;4106;Bad
1184;31;4590;11250;15452;On Time;3;18;2563;Good
1185;57;3746;14619;17597;Late;2;2;2945;Bad
1186;57;6645;7247;14547;On Time;5;4;3304;Good
1187;68;6300;1158;20466;On Time;2;19;2814;Good
1188;56;4253;12922;8147;Late;4;10;3020;Bad
1189;68;5864;5295;11494;On Time;2;13;2174;Good
1190;23;2737;3058;13349;On Time;5;19;3562;Bad
1191;23;5277;3407;18563;On Time;3;8;2594;Good
1192;20;5679;13004;16092;On Time;2;10;4532;Good
1193;24;7560;10697;25716;On Time;2;8;3117;Good
1194;68;3843;13912;10971;On Time;3;19;4029;Bad
1195;25;3082;13345;8025;On Time;3;9;3629;Bad
1196;59;3656;7895;23945;Late;5;9;4120;Bad
1197;69;2995;9647;7845;On Time;4;13;2552;Bad
1198;32;7004;7442;18415;On Time;5;1;1815;Good
1199;64;7322;8948;10106;Late;2;12;2101;Bad
1200;46;5480;5163;5000;On Time;5;10;2028;Good
1201;50;6831;11952;13126;On Time;5;19;2181;Good
1202;69;5200;15375;19497;Late;3;8;1825;Bad
1203;47;4857;5916;8891;On Time;4;11;2884;Good
1204;56;4500;16406;17880;On Time;4;11;3747;Bad
1205;44;4534;10567;18814;On Time;5;16;1707;Good
1206;53;2678;11205;8641;On Time;3;11;2327;Bad
1207;46;5396;1502;13861;On Time;3;1;4022;Good
1208;55;4939;963;22885;On Time;2;6;1452;Good
1209;50;6118;10720;18252;On Time;1;13;2999;Good
1210;54;5140;13948;13692;On Time;2;11;3589;Good
1211;44;4755;6643;17076;On Time;2;3;5086;Good
1212;50;3693;18350;11573;On Time;2;1;639;Bad
1213;21;5108;13674;20568;On Time;1;14;1682;Good
1214;39;6107;5458;20566;On Time;3;11;3292;Good
1215;19;3284;10154;15604;On Time;3;14;2626;Bad
1216;27;5131;22384;16153;On Time;4;10;259;Bad
1217;22;5349;3787;10006;On Time;4;2;2554;Good
1218;27;3922;12641;8239;On Time;5;5;2093;Bad
1219;50;4118;8386;13116;On Time;5;15;1350;Good
1220;55;5345;13534;14562;On Time;5;18;2619;Good
1221;30;3299;16336;20313;On Time;4;16;1674;Bad
1222;48;5524;8068;19612;On Time;4;3;2134;Good
1223;64;3656;15594;15924;On Time;2;9;4299;Bad
1224;53;6594;21106;20952;On Time;3;18;4864;Bad
1225;62;8506;10331;10282;On Time;4;19;2097;Good
1226;41;3708;13924;20386;On Time;1;5;3115;Bad
1227;69;5801;7047;11047;Late;2;4;3623;Bad
1228;32;3909;10096;21198;On Time;1;8;2153;Bad
1229;46;6561;9116;14933;On Time;1;7;2030;Good
1230;25;3102;13984;5008;On Time;3;11;3636;Bad
1231;22;5720;16023;18650;On Time;1;12;2771;Bad
1232;46;3690;9451;19047;On Time;1;12;2784;Bad
1233;64;4689;17668;12717;On Time;1;16;1830;Bad
1234;21;3453;17650;13143;On Time;1;16;1977;Bad
1235;29;6233;14234;14202;On Time;2;15;3062;Good
1236;62;3744;7419;5374;On Time;2;1;2563;Bad
1237;19;5827;6940;5000;On Time;3;15;3091;Good
1238;44;4483;5938;21508;On Time;3;18;3940;Good
1239;48;4828;14745;10879;On Time;1;6;3148;Good
1240;68;5221;3941;24276;On Time;5;9;2349;Good
1241;68;3857;13384;21852;On Time;1;17;3905;Bad
1242;53;5315;4594;22835;On Time;1;12;2966;Good
1243;53;7295;14117;11748;On Time;3;2;4310;Good
1244;43;3832;10086;6957;On Time;4;16;2288;Bad
1245;60;6757;16668;9565;On Time;3;15;2884;Bad
1246;44;7247;15707;12767;On Time;2;12;2658;Bad
1247;22;3775;17175;5000;On Time;3;15;3104;Bad
1248;37;2817;17304;12622;On Time;4;13;3231;Bad
1249;28;5452;10718;13991;On Time;1;12;2992;Good
1250;27;4178;4206;8527;On Time;4;19;3805;Good
1251;57;7802;4737;9797;Late;3;16;3408;Bad
1252;55;5052;0;13897;On Time;5;7;5444;Good
1253;23;3796;4581;16781;On Time;2;17;5604;Bad
1254;25;3279;10344;10545;On Time;4;10;2296;Bad
1255;40;6634;7201;16461;On Time;3;9;2472;Good
1256;64;4143;9099;15684;On Time;1;6;1714;Good
1257;43;5065;12463;15234;On Time;3;9;4613;Good
1258;63;6433;8479;11739;Late;1;1;2559;Bad
1259;60;4273;4390;8333;On Time;5;16;3252;Good
1260;29;4931;9733;23482;On Time;2;14;1792;Good
1261;43;4975;5507;18151;On Time;4;8;3121;Good
1262;30;6024;8646;20028;On Time;3;15;1233;Good
1263;57;5886;16713;14581;On Time;3;16;4193;Bad
1264;35;4669;8647;14179;On Time;4;14;4833;Good
1265;42;5095;18854;17453;On Time;1;16;3698;Bad
1266;50;4442;17158;5826;On Time;2;7;2051;Bad
1267;64;2783;7103;9426;On Time;5;18;3554;Bad
1268;57;5386;4444;11011;On Time;4;17;3197;Good
1269;60;7838;9737;12727;On Time;2;1;4389;Good
1270;29;3674;15766;10601;On Time;3;11;3846;Bad
1271;61;3840;7549;16664;On Time;2;5;1925;Bad
1272;53;3693;14540;15407;On Time;5;13;4162;Bad
1273;65;6086;16042;21964;On Time;2;8;2919;Bad
1274;21;5672;6129;27368;On Time;3;18;4316;Good
1275;22;4762;6619;8685;On Time;5;13;1434;Good
1276;54;3622;13563;15736;On Time;5;9;3526;Bad
1277;25;5138;10759;15727;On Time;5;11;2705;Good
1278;59;2653;6569;14929;On Time;3;6;3095;Bad
1279;66;5215;8239;9575;On Time;1;11;2321;Good
1280;45;6307;9647;10414;On Time;3;15;3501;Good
1281;48;3123;2175;16202;Late;1;14;2063;Bad
1282;26;2701;13828;10273;On Time;1;8;1434;Bad
1283;68;7369;7606;15796;On Time;3;18;2249;Good
1284;46;4082;0;13770;On Time;2;1;2260;Good
1285;31;6703;9880;15708;On Time;3;9;2685;Good
1286;57;4769;6292;10233;On Time;5;7;3712;Good
1287;58;4757;18444;15787;On Time;2;15;2066;Bad
1288;39;5657;7072;10595;On Time;4;15;3789;Good
1289;28;3674;4511;15803;Late;4;9;3579;Bad
1290;40;5198;12539;21696;On Time;4;5;4008;Good
1291;18;4427;6697;16304;On Time;5;7;2632;Good
1292;63;3019;6102;16609;Late;5;12;4559;Bad
1293;54;5506;12547;19086;On Time;1;6;2702;Good
1294;38;4605;4797;7982;On Time;5;10;3897;Good
1295;43;4764;2713;23594;On Time;1;15;4673;Good
1296;63;3184;18629;9722;On Time;4;4;4205;Bad
1297;53;7387;12897;19398;On Time;3;15;2884;Good
1298;40;6315;8678;18734;On Time;3;18;1890;Good
1299;18;6446;9982;10489;On Time;5;3;2042;Good
1300;68;4541;12529;20044;On Time;4;15;2010;Good
1301;57;2406;14866;17489;On Time;4;5;2312;Bad
1302;32;7929;6220;24449;On Time;1;2;2965;Good
1303;38;4908;11830;15966;On Time;1;15;3643;Good
1304;64;3876;7466;14457;On Time;4;8;3779;Bad
1305;26;5625;9055;12426;On Time;5;5;3961;Good
1306;26;6750;10803;6283;On Time;5;9;3901;Good
1307;27;4965;9966;13408;On Time;4;7;2876;Good
1308;69;6917;13677;13620;Late;3;4;3651;Bad
1309;43;6624;12435;16310;On Time;3;19;2734;Good
1310;58;3385;2459;7884;On Time;1;8;3303;Bad
1311;52;3989;3210;13804;On Time;4;14;2772;Bad
1312;69;6436;8151;17881;On Time;3;9;2977;Good
1313;42;931;19143;18377;On Time;5;5;2655;Bad
1314;43;4775;5742;5700;Late;2;6;1220;Bad
1315;28;2853;8958;18532;On Time;2;10;2730;Bad
1316;55;4285;7318;13767;On Time;4;13;3602;Good
1317;19;4551;7229;14074;On Time;1;10;3949;Good
1318;24;4462;10891;5000;On Time;2;13;3490;Good
1319;35;4171;17003;22467;On Time;5;3;2043;Bad
1320;44;3354;12279;15883;On Time;5;12;2498;Bad
1321;51;8437;5982;7342;On Time;5;4;1395;Good
1322;44;7801;23766;16876;On Time;2;11;3678;Bad
1323;34;3256;10392;16722;Late;3;9;2107;Bad
1324;60;7373;7113;21112;On Time;5;6;3372;Good
1325;61;4400;17060;13451;On Time;1;12;3448;Bad
1326;68;5193;7654;15059;Late;4;14;2111;Bad
1327;41;4905;18314;11785;On Time;4;9;3271;Bad
1328;42;4010;5646;17989;On Time;4;8;4810;Good
1329;24;6475;17150;11082;On Time;3;9;2649;Bad
1330;69;5188;11005;10535;Late;4;13;4084;Bad
1331;23;4285;16455;14661;On Time;4;11;3266;Bad
1332;41;3043;19508;8870;Late;2;9;3305;Bad
1333;50;3659;4336;23010;On Time;3;8;2908;Bad
1334;66;2537;16378;24636;On Time;3;10;3932;Bad
1335;46;5018;2955;12732;On Time;2;9;2842;Good
1336;60;3205;4764;8067;Late;1;4;3600;Bad
1337;39;4601;5982;16682;On Time;4;10;3934;Good
1338;43;7055;12518;12589;On Time;1;17;4015;Good
1339;45;6798;10165;20873;On Time;2;19;3564;Good
1340;67;4951;9164;11064;On Time;2;10;3759;Good
1341;38;4869;10731;17722;On Time;2;18;3029;Good
1342;66;7819;12956;15569;On Time;2;16;2575;Good
1343;24;5781;13341;11618;On Time;5;4;3329;Good
1344;34;4508;15470;16200;On Time;2;9;3339;Bad
1345;37;2860;19100;19392;On Time;1;9;3334;Bad
1346;58;5590;9893;15434;On Time;2;2;4114;Good
1347;66;6243;7394;15486;On Time;1;19;3034;Good
1348;37;4052;13067;10636;On Time;2;8;1646;Good
1349;39;5436;4278;20721;Late;2;19;964;Bad
1350;45;4454;6606;20222;On Time;5;4;3188;Good
1351;57;4723;14996;12947;On Time;2;11;4027;Good
1352;66;1268;9379;14378;On Time;4;3;2790;Bad
1353;24;4667;3959;22071;On Time;5;18;4878;Good
1354;18;6454;2550;9332;On Time;5;17;3164;Good
1355;49;4052;10243;18021;On Time;4;19;5404;Good
1356;30;5078;15709;12206;On Time;5;9;2914;Bad
1357;47;3866;15642;23890;On Time;2;16;4582;Bad
1358;40;5540;10554;15317;Late;4;8;2591;Bad
1359;68;4675;20044;21301;On Time;2;9;4073;Bad
1360;36;3591;9475;11193;On Time;5;5;3599;Bad
1361;49;6998;9307;8757;On Time;3;5;3358;Good
1362;47;6393;0;13828;On Time;4;14;3354;Good
1363;46;4092;7763;16313;On Time;1;14;4429;Good
1364;66;5746;14260;12446;On Time;5;5;2841;Good
1365;62;5806;17819;18791;On Time;3;4;3127;Bad
1366;46;5963;5848;13950;On Time;5;17;5749;Good
1367;47;2458;12311;5000;On Time;2;6;3561;Bad
1368;33;6509;15234;17764;On Time;2;7;4252;Bad
1369;57;4145;10056;10587;On Time;2;14;2773;Good
1370;36;4463;0;13192;On Time;3;15;2483;Good
1371;35;8956;11236;22765;On Time;2;6;3789;Good
1372;18;5452;13807;23864;On Time;5;10;3238;Good
1373;31;4420;5262;12122;On Time;5;8;2819;Good
1374;68;1692;8729;17888;On Time;5;8;1330;Bad
1375;64;7084;4222;12238;On Time;4;5;1229;Good
1376;67;2982;0;13565;On Time;5;16;1076;Bad
1377;19;3494;15135;11971;On Time;2;11;3357;Bad
1378;45;4502;9981;6378;On Time;4;7;1941;Good
1379;66;7124;17988;15475;On Time;4;2;1272;Bad
1380;67;6159;14286;16440;On Time;4;7;2132;Good
1381;47;4763;8228;11644;Late;4;6;1097;Bad
1382;55;5462;9584;20438;On Time;3;19;2392;Good
1383;68;4099;12830;12819;On Time;5;18;2343;Good
1384;21;5209;14834;11813;On Time;3;1;3507;Good
1385;18;5110;11613;17632;On Time;1;18;3163;Good
1386;25;6453;15527;7286;On Time;3;12;2518;Bad
1387;46;6450;8516;19533;On Time;4;17;3660;Good
1388;56;5740;5014;12989;On Time;5;8;1759;Good
1389;20;4456;9675;19946;On Time;5;3;2523;Good
1390;49;6112;11025;21440;On Time;2;10;2212;Good
1391;27;4862;3992;18200;On Time;3;16;2941;Good
1392;27;3377;3316;10940;On Time;5;18;930;Bad
1393;36;4395;12236;8745;On Time;1;1;5283;Good
1394;63;5126;7968;7829;On Time;1;8;3353;Good
1395;51;6365;9170;20514;On Time;3;19;3386;Good
1396;50;4724;8201;14325;On Time;2;3;966;Good
1397;40;3186;17603;12003;On Time;1;16;3220;Bad
1398;45;5085;16308;14339;On Time;2;16;2776;Bad
1399;49;5170;3813;20403;On Time;3;16;4117;Good
1400;67;5278;7336;18893;On Time;5;12;2711;Good
1401;24;6379;14250;17192;On Time;2;9;2646;Good
1402;46;6528;13009;18189;On Time;1;18;2944;Good
1403;25;4108;9792;15900;On Time;2;11;4384;Good
1404;18;4075;4311;16510;On Time;5;11;1426;Good
1405;20;3439;6587;16105;On Time;5;12;1258;Bad
1406;41;6048;7416;14999;On Time;1;18;753;Good
1407;40;7173;11384;18766;On Time;2;2;4081;Good
1408;25;4527;18518;16806;On Time;2;4;3963;Bad
1409;64;4637;6565;10596;On Time;4;4;1792;Good
1410;54;7200;4869;17644;On Time;1;14;1577;Good
1411;20;5758;9457;16236;On Time;2;13;3958;Good
1412;68;5654;15158;18057;On Time;3;9;1554;Bad
1413;50;3213;2765;14478;On Time;4;15;2713;Bad
1414;45;6018;17268;19058;On Time;1;10;2450;Bad
1415;64;3606;9139;14692;On Time;5;5;6252;Bad
1416;25;3298;6328;18619;On Time;1;4;2835;Bad
1417;51;4479;1999;12717;On Time;3;18;4273;Good
1418;52;4121;13532;13063;On Time;3;4;3460;Good
1419;49;4667;9144;18010;Late;5;16;2527;Bad
1420;41;2838;10853;13341;On Time;5;11;2420;Bad
1421;31;6438;5495;26028;On Time;5;7;3078;Good
1422;49;6691;8404;17832;On Time;4;1;3087;Good
1423;63;2078;7567;15124;On Time;3;3;2494;Bad
1424;60;6467;9497;19099;On Time;5;16;3557;Good
1425;33;3784;6652;12596;On Time;3;4;3037;Bad
1426;21;6285;2329;19615;On Time;4;3;2301;Good
1427;69;4897;23642;19476;On Time;4;1;2639;Bad
1428;54;5043;3182;21267;Late;3;1;3508;Bad
1429;38;4722;10907;12795;On Time;5;10;1941;Good
1430;31;6818;1139;8886;On Time;1;12;1940;Good
1431;48;3140;14;11949;On Time;2;3;1720;Bad
1432;65;5911;10489;13591;Late;3;13;2638;Bad
1433;35;6651;10871;23336;On Time;4;6;2750;Good
1434;24;6074;16307;25975;On Time;5;10;1888;Bad
1435;27;8487;11997;16723;Late;2;6;2999;Bad
1436;24;4206;9250;15046;Late;3;1;3007;Bad
1437;50;6435;5251;13250;On Time;1;15;3928;Good
1438;40;4840;17495;19123;On Time;1;14;3896;Bad
1439;38;6850;14644;25942;On Time;4;12;999;Good
1440;36;4988;3768;23929;On Time;4;10;3288;Good
1441;65;4418;10189;20689;On Time;4;9;1029;Good
1442;36;6959;10720;20616;On Time;3;15;3568;Good
1443;53;4262;8271;19161;On Time;1;14;3548;Good
1444;46;2880;13859;14763;On Time;1;10;1996;Bad
1445;35;4224;14158;11317;On Time;4;1;3336;Good
1446;19;5928;9047;14895;On Time;4;2;1965;Good
1447;18;7088;8595;17111;On Time;5;2;2866;Good
1448;64;5166;17494;7731;Late;1;2;3079;Bad
1449;22;6977;14664;14235;On Time;4;2;2735;Good
1450;37;2962;10361;10870;On Time;4;8;3741;Bad
1451;28;4335;1853;20069;On Time;4;18;2215;Good
1452;59;4567;11720;12251;On Time;5;13;3501;Good
1453;19;4828;13490;16641;On Time;1;17;1769;Good
1454;20;5126;0;11499;On Time;1;8;891;Good
1455;40;6036;11259;22988;On Time;1;10;1285;Good
1456;29;4332;7916;6496;On Time;5;14;2009;Good
1457;37;5208;8895;17379;Late;3;19;3654;Bad
1458;22;4932;5463;8613;On Time;5;19;3546;Good
1459;54;3611;9259;12453;On Time;2;5;2779;Bad
1460;55;4829;16959;16030;On Time;5;18;907;Bad
1461;47;4784;7768;16276;On Time;2;10;4822;Good
1462;26;4752;14827;16146;On Time;4;16;1475;Good
1463;51;5047;5968;15758;Late;2;18;3357;Bad
1464;61;5113;13793;11790;On Time;5;9;2591;Good
1465;52;4351;10008;14179;On Time;3;10;3402;Good
1466;69;6909;11760;15158;On Time;1;12;4320;Good
1467;39;3245;10035;15976;On Time;5;5;3187;Bad
1468;61;3918;13208;14671;On Time;1;15;3709;Bad
1469;41;9169;0;18647;On Time;2;7;6074;Good
1470;34;3443;2900;15466;On Time;4;7;4015;Bad
1471;27;2969;12085;16006;On Time;4;3;1370;Bad
1472;47;6101;0;13086;On Time;5;3;248;Good
1473;63;1884;7347;9737;On Time;2;7;3532;Bad
1474;40;4647;9728;15770;On Time;2;1;2536;Good
1475;49;8218;5859;21037;On Time;1;18;3797;Good
1476;34;2682;6542;17219;On Time;2;1;451;Bad
1477;67;2027;11357;10912;On Time;3;6;4165;Bad
1478;68;2751;15046;19073;On Time;4;7;2898;Bad
1479;34;6347;5207;13324;On Time;3;12;5089;Good
1480;31;6687;7124;18573;On Time;3;3;2996;Good
1481;26;4231;6343;13156;On Time;1;2;3535;Good
1482;57;6024;0;16766;On Time;2;15;2622;Good
1483;19;7085;10708;12407;On Time;1;4;2544;Good
1484;62;7681;14673;12534;On Time;4;19;3293;Good
1485;42;4630;15083;7168;On Time;1;11;2691;Bad
1486;56;1547;5646;17560;On Time;3;5;2408;Bad
1487;26;3768;3741;16850;On Time;1;12;3369;Bad
1488;39;4359;10108;17132;On Time;2;16;2424;Good
1489;60;4611;14146;16376;On Time;1;10;3402;Good
1490;63;4718;10774;11188;On Time;2;6;1428;Good
1491;21;6678;11446;19829;On Time;3;12;3009;Good
1492;43;6911;15709;19963;On Time;2;7;2809;Bad
1493;46;4742;6304;11058;On Time;2;10;756;Good
1494;62;6647;8900;17660;On Time;2;16;1772;Good
1495;51;5536;18173;19374;On Time;2;3;437;Bad
1496;40;5096;9015;12649;On Time;4;16;3101;Good
1497;54;6359;3663;13519;On Time;5;12;2202;Good
1498;28;5108;6653;17670;On Time;4;8;2677;Good
1499;23;8086;5309;7448;On Time;1;5;4331;Good
1500;35;2842;11785;9557;On Time;4;17;2999;Bad
1501;38;4227;5520;10051;On Time;4;14;3291;Good
1502;59;4810;11355;6018;On Time;2;9;2516;Good
1503;53;5659;6319;20424;On Time;1;19;2265;Good
1504;58;6901;0;5059;On Time;1;12;1563;Good
1505;55;4963;11533;16715;On Time;3;11;3721;Good
1506;51;2866;10742;19058;On Time;2;1;4544;Bad
1507;34;6263;12588;13532;On Time;4;11;4170;Good
1508;54;6132;6635;11658;On Time;3;8;1812;Good
1509;42;2087;6102;16164;On Time;3;4;4256;Bad
1510;55;4994;12007;15009;On Time;4;4;2838;Good
1511;29;2614;17595;20017;On Time;1;11;4471;Bad
1512;40;4003;10055;5000;On Time;2;19;3385;Good
1513;59;3645;12122;10406;Late;2;4;3313;Bad
1514;39;6213;8392;17807;On Time;4;6;3340;Good
1515;38;5175;2281;15252;On Time;2;9;1306;Good
1516;44;3071;14837;18760;On Time;5;11;1736;Bad
1517;48;6320;14542;16310;On Time;3;12;2373;Good
1518;23;2849;13553;14326;On Time;3;18;2635;Bad
1519;44;5495;9090;13488;On Time;5;9;3117;Good
1520;57;3778;12985;26625;On Time;2;15;2537;Bad
1521;51;4451;14468;22674;On Time;1;17;2494;Good
1522;29;5756;18100;17477;On Time;5;9;4239;Bad
1523;62;5782;14942;15392;On Time;5;13;4351;Good
1524;24;7005;10319;17690;On Time;3;2;3605;Good
1525;27;4876;3458;19134;On Time;1;17;2275;Good
1526;62;5459;10778;17094;On Time;1;18;3419;Good
1527;34;4343;11282;11243;On Time;2;6;4280;Good
1528;43;5272;13545;23922;On Time;1;2;2754;Good
1529;38;5659;16769;16231;On Time;2;1;4342;Bad
1530;45;4852;9524;25069;On Time;4;5;4935;Good
1531;63;2294;20504;15935;On Time;5;14;3975;Bad
1532;19;5497;1203;13771;On Time;5;18;3619;Good
1533;60;5546;12096;21920;On Time;2;4;3346;Good
1534;18;3979;6007;16505;On Time;2;14;3633;Bad
1535;68;3073;463;15667;On Time;2;15;3418;Bad
1536;53;7213;8991;8998;On Time;5;8;1775;Good
1537;68;5737;2714;18301;On Time;2;2;4330;Good
1538;43;4656;9192;12533;On Time;5;17;3085;Good
1539;46;3294;10173;12761;On Time;5;17;5437;Bad
1540;38;3767;15592;12547;On Time;3;6;5766;Bad
1541;28;6953;2462;17195;On Time;3;6;2749;Good
1542;57;5206;14542;7323;On Time;4;19;3204;Good
1543;28;4174;10490;13945;On Time;4;1;2569;Good
1544;53;5764;15144;19901;On Time;1;6;2046;Bad
1545;66;3778;7841;8771;On Time;2;5;2942;Bad
1546;56;7251;3338;15864;On Time;5;4;3032;Good
1547;57;7029;3912;11843;On Time;1;13;1696;Good
1548;52;4300;3540;12981;On Time;3;17;1881;Good
1549;51;4056;12389;23275;On Time;5;13;26;Good
1550;64;1072;17384;6747;On Time;1;16;1831;Bad
1551;41;2777;7175;18828;Late;3;13;3845;Bad
1552;39;2990;13145;12610;On Time;4;1;4443;Bad
1553;22;5202;2382;12361;On Time;2;10;1028;Good
1554;50;4510;10901;9442;On Time;2;18;1659;Good
1555;53;2981;13342;18769;On Time;1;17;4226;Bad
1556;64;4578;2759;14042;On Time;3;17;2146;Good
1557;37;5758;8980;13411;Late;1;10;2538;Bad
1558;36;5791;13579;15549;On Time;3;2;2312;Good
1559;52;2150;0;14148;Late;3;10;3916;Bad
1560;69;4807;16677;5000;On Time;2;6;4673;Bad
1561;60;2924;11768;12545;On Time;4;3;3073;Bad
1562;34;6352;13583;19477;On Time;4;10;2560;Good
1563;62;6176;7936;7466;On Time;5;19;2778;Good
1564;60;3652;1386;9550;On Time;3;17;3891;Bad
1565;51;3850;12670;12866;On Time;2;12;3525;Bad
1566;26;4308;9587;11371;On Time;3;12;2749;Good
1567;43;1620;10160;14860;On Time;5;6;2956;Bad
1568;19;5503;15438;9534;On Time;2;12;2282;Bad
1569;26;4590;13810;13060;On Time;3;6;2331;Good
1570;26;6455;19606;14760;On Time;4;3;1601;Bad
1571;57;3352;10769;18244;On Time;4;3;4145;Bad
1572;34;4071;6543;21223;On Time;5;9;735;Good
1573;18;2740;9057;13692;On Time;4;1;3278;Bad
1574;42;3493;12078;24440;On Time;3;4;2973;Bad
1575;60;3227;15079;14080;On Time;5;12;2906;Bad
1576;57;6493;2664;19144;On Time;1;5;2387;Good
1577;59;3952;10042;24657;Late;5;18;2706;Bad
1578;42;5186;18047;15696;Late;4;16;4759;Bad
1579;56;4428;8798;8132;On Time;2;10;3073;Good
1580;52;3095;14655;15454;On Time;5;12;3161;Bad
1581;20;4747;12465;11941;On Time;3;11;3193;Good
1582;67;5898;14779;13627;On Time;5;19;2298;Good
1583;54;3188;5951;24924;On Time;4;5;2432;Bad
1584;61;6213;5972;8886;On Time;5;3;3527;Good
1585;61;3725;10101;16502;Late;3;19;2159;Bad
1586;68;4275;2338;10611;On Time;3;6;2903;Good
1587;47;5796;8651;13461;On Time;4;17;4161;Good
1588;55;4004;11264;18724;On Time;3;13;2329;Good
1589;51;5056;18923;16590;On Time;4;7;2890;Bad
1590;29;4527;12013;13874;On Time;5;19;2722;Good
1591;36;5194;13126;11750;On Time;5;19;3502;Good
1592;54;1428;15822;16580;On Time;1;12;3145;Bad
1593;61;2255;5176;23538;On Time;4;11;2316;Bad
1594;66;5923;9174;10493;On Time;2;17;2467;Good
1595;34;6555;22127;24558;On Time;4;17;2359;Bad
1596;27;3634;9604;20997;On Time;5;18;2279;Bad
1597;66;4633;15582;21846;On Time;5;15;1245;Bad
1598;64;5442;14818;16542;On Time;3;6;3181;Good
1599;29;6039;2609;20855;Late;1;8;2330;Bad
1600;33;1958;11552;9955;On Time;2;11;3483;Bad
1601;41;3670;10733;11659;On Time;1;13;3084;Bad
1602;36;4501;11649;18829;Late;4;17;2622;Bad
1603;25;6054;6229;16479;On Time;4;17;2540;Good
1604;48;8747;4415;14258;On Time;5;18;1679;Good
1605;38;4657;7619;5000;On Time;3;16;3129;Good
1606;34;2889;9511;12822;Late;2;16;2916;Bad
1607;40;5603;15924;9129;On Time;3;4;2376;Bad
1608;54;6981;19086;17467;On Time;2;17;1017;Bad
1609;33;5162;16982;14044;On Time;1;8;2794;Bad
1610;23;3640;14300;11858;On Time;5;7;2868;Bad
1611;25;6436;4978;28214;On Time;3;8;4102;Good
1612;42;5995;7955;20190;On Time;4;1;3037;Good
1613;35;3460;11049;20279;On Time;5;2;4191;Bad
1614;42;5572;6837;26011;On Time;2;13;2371;Good
1615;29;6495;12886;19010;On Time;5;2;2734;Good
1616;32;6772;13602;11145;On Time;4;5;1992;Good
1617;43;4900;12681;10560;On Time;4;5;2734;Good
1618;58;4462;15125;19824;On Time;2;6;3826;Bad
1619;62;6840;5477;5000;On Time;5;18;3855;Good
1620;43;3184;14664;14611;On Time;3;16;3221;Bad
1621;64;5657;6521;5000;On Time;5;17;1654;Good
1622;49;2944;5295;15494;On Time;4;9;1594;Bad
1623;27;6598;12660;19270;On Time;2;8;2751;Good
1624;33;4612;16079;16397;On Time;1;8;2321;Bad
1625;24;6902;12440;19690;Late;1;2;3663;Bad
1626;34;5737;10104;24824;On Time;5;9;3473;Good
1627;40;3165;11550;14282;On Time;4;6;3344;Bad
1628;43;7136;10682;29038;On Time;5;19;2428;Good
1629;38;7326;4370;16063;On Time;2;1;3147;Good
1630;39;6323;3786;19745;On Time;3;19;3333;Good
1631;24;3857;9605;11944;On Time;1;1;2656;Bad
1632;31;4540;10399;23096;On Time;5;13;2760;Good
1633;32;5218;10056;20208;Late;4;7;3303;Bad
1634;24;3944;13380;22357;On Time;1;13;1905;Bad
1635;26;7538;8922;15272;On Time;1;18;2421;Good
1636;68;5216;12814;8722;On Time;3;2;2341;Good
1637;65;944;9277;17301;On Time;5;3;3984;Bad
1638;25;5509;19116;6514;On Time;3;6;2467;Bad
1639;67;4477;10403;13319;On Time;4;13;3027;Good
1640;40;4887;21703;15955;On Time;4;9;3645;Bad
1641;46;4447;11760;26886;On Time;5;3;2241;Good
1642;35;6210;8931;16592;On Time;1;15;3875;Good
1643;48;6679;5502;15697;On Time;2;4;3961;Good
1644;47;5424;2785;14684;On Time;3;17;876;Good
1645;69;4491;5042;8289;On Time;1;17;3356;Good
1646;56;4937;5601;15429;Late;4;13;4034;Bad
1647;52;5029;11974;15514;On Time;4;11;2615;Good
1648;35;3796;7369;10156;Late;1;8;3540;Bad
1649;59;5868;10934;9066;Late;1;3;1675;Bad
1650;56;5690;16409;12592;On Time;4;18;1415;Bad
1651;34;7310;9560;15324;On Time;3;1;2575;Good
1652;31;6883;20395;12712;On Time;3;8;2024;Bad
1653;48;3971;4120;9745;On Time;1;9;3356;Bad
1654;41;6230;9247;16446;On Time;5;17;3324;Good
1655;52;3573;7303;17694;On Time;4;8;4762;Bad
1656;61;6043;14682;15606;On Time;2;11;3797;Good
1657;62;4225;0;12185;On Time;4;1;2402;Good
1658;51;3465;2784;17974;On Time;3;2;3045;Bad
1659;20;5420;9463;14047;Late;3;15;3217;Bad
1660;54;988;17756;9054;On Time;2;17;3527;Bad
1661;60;2373;11129;20181;On Time;3;15;907;Bad
